密封材料老化,替换密封,措施方法
盾尾刷组装有问题,盾尾刷核验,措施方法
钢板束及止浆板选型问题,钢板束焊接质量控制,措施方法
密封件变形,盾尾调圆,措施方法
管片拼装错台,管片拼装控制,措施方法
管片拼装控制,管片拼装前,措施方法
管片拼装控制,管片拼装时,措施方法
管片拼装控制,管片拼装后,措施方法
油脂注入量不足,油脂选择检查,措施方法
油脂注入量不足,增加注入量,措施方法
油脂注入量不足,检查油脂注入系统,措施方法
姿态控制不佳,姿态矫正,措施方法
盾尾未清理,及时清理,措施方法
主轴承损坏,选型不当或荷载过大,原因因素
主轴承损坏,微动磨损,原因因素
主轴承损坏,异物进入,原因因素
主轴承损坏,接触疲劳,原因因素
主轴承损坏,润滑失效,原因因素
主轴承损坏,主驱动轴承油脂量不足,原因因素
主轴承损坏,水土压力过大,原因因素
主轴承损坏,维护不当,原因因素
主轴承损坏,电流通过轴承,原因因素
主轴承损坏,严重损坏,原因因素
主轴承损坏,超使用寿命,原因因素
主轴承损坏,推进力异常,表现现象
主轴承损坏,扭矩异常,表现现象
主轴承损坏,推进速度下降,表现现象
主轴承损坏,刀盘转速不稳定或受阻,表现现象
主轴承损坏,轴承温度异常升高 ,表现现象
主轴承损坏,振动水平和振动信号特征异常,表现现象
主轴承损坏,主驱动系统发出异常噪音,表现现象
选型不当或荷载过大,组合安装和维护保养,措施方法
微动磨损,操作与润滑,措施方法
异物进入,密封检查,措施方法
接触疲劳,控制监测,措施方法
润滑失效,补充更换润滑油,措施方法
主驱动轴承油脂量不足,疏通主轴承润滑孔道,措施方法
水土压力过大,调整参数,措施方法
维护不当,定期维护,措施方法
电流通过轴承,电气系统合理设计,措施方法
严重损坏,报废处理,措施方法
超使用寿命,报废处理,措施方法
